pred_id,amphipoda_tot,bivalvia_tot,clupeidae_tot,clupea_harengus_tot,gadus_morhua_tot,gobiidae_tot,mysidae_tot,non_bio_tot,other_crustacea_tot,other_tot,other_pisces_tot,platichthys_flesus_tot,polychaeta_tot,saduria_entomon_tot,sprattus_sprattus_tot,predator_latin_name,species,pred_weight_g,pred_length_cm,year,quarter,month,ices_rect,subdiv,haul_id,smhi_serial_no,X,Y,lat,lon,fle_kg_km2,mcod_kg_km2,scod_kg_km2,date,bottom_depth,group,depth,density_saduria,oxy
2015_4_COD_15,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,Gadus morhua,Cod,264,33,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,large cod,58.349998474121094,153.9318389892578,3.972603003425598
2015_4_COD_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,422,38,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,large cod,58.349998474121094,153.9318389892578,3.972603003425598
2015_4_COD_169,0,0,0,8.22,0,0,5.24,0,0,0,0,0,0,0,0,Gadus morhua,Cod,438,35,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_170,0,0,0,0,0,0,4.3999999999999995,0,0,0,0,0,0,1.02,0,Gadus morhua,Cod,303,32,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_172,0,0,3.24,0,0,0,1.89,0,0,0,0,0,0,0.12,0,Gadus morhua,Cod,483,39,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_173,0.01,0,0,0,0,0,0.19,0,0,0.01,0.02,0,0,3.47,0,Gadus morhua,Cod,265,30,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_174,0,0,0,13.26,0,0,1.35,0,0,0,0.85,0,0,0.59,0,Gadus morhua,Cod,428,38,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_176,0.01,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,Gadus morhua,Cod,294,33,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_180,2.35,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,Gadus morhua,Cod,205,27,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_181,0.08,0,0,0,0,0.49,1.16,0.01,0,0,0,0,0,0.24,0,Gadus morhua,Cod,211,28,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
